filename,time_rel(sec)
xa.s15.00.mhz.1974-11-17HR00_evid00162,71810.56603773584
xa.s15.00.mhz.1975-04-12HR00_evid00190,65784.15094339622
xa.s15.00.mhz.1974-12-15HR00_evid00169,32878.79245283019
xa.s15.00.mhz.1974-10-19HR00_evid00157,70849.35849056604
xa.s15.00.mhz.1975-06-22HR00_evid00194,71611.47169811321
xa.s15.00.mhz.1974-11-21HR00_evid00166,48128.45283018868
xa.s15.00.mhz.1973-08-10HR00_evid00126,64661.88679245283
xa.s15.00.mhz.1973-10-27HR00_evid00134,40639.09433962264
xa.s15.00.mhz.1973-04-04HR00_evid00098,66619.77358490566
xa.s15.00.mhz.1974-12-15HR00_evid00170,32878.79245283019
