filename,time_rel(sec)
xa.s12.00.mhz.1974-07-06HR00_evid00150,10754.566037735849
xa.s12.00.mhz.1970-01-19HR00_evid00002,73512.0
xa.s12.00.mhz.1971-05-12HR00_evid00032,35246.49056603773
xa.s12.00.mhz.1971-10-31HR00_evid00045,20026.716981132075
xa.s12.00.mhz.1974-03-25HR00_evid00140,61366.49056603773
xa.s12.00.mhz.1973-03-13HR00_evid00094,28627.471698113208
xa.s12.00.mhz.1975-06-24HR00_evid00196,57872.301886792455
xa.s12.00.mhz.1971-03-25HR00_evid00028,55235.16981132075
xa.s12.00.mhz.1975-05-04HR00_evid00192,36010.11320754717
xa.s12.00.mhz.1973-01-31HR00_evid00091,2657.9622641509436
xa.s12.00.mhz.1973-03-01HR00_evid00093,26259.622641509435
xa.s12.00.mhz.1970-03-25HR00_evid00003,12945.207547169812
xa.s12.00.mhz.1970-06-26HR00_evid00009,72213.43396226416
xa.s12.00.mhz.1972-07-31HR00_evid00071,65651.47169811321
xa.s12.00.mhz.1970-03-26HR00_evid00004,73224.15094339622
xa.s12.00.mhz.1973-03-24HR00_evid00097,69927.54716981133
xa.s12.00.mhz.1973-01-18HR00_evid00088,82923.77358490566
xa.s12.00.mhz.1974-06-25HR00_evid00149,1469.8867924528302
xa.s12.00.mhz.1971-01-15HR00_evid00022,45708.83018867925
xa.s12.00.mhz.1973-06-27HR00_evid00112,67170.41509433962
xa.s12.00.mhz.1971-01-29HR00_evid00024,66230.64150943396
xa.s12.00.mhz.1972-07-17HR00_evid00067,80731.16981132075
xa.s12.00.mhz.1970-07-20HR00_evid00011,18266.867924528302
xa.s12.00.mhz.1972-07-17HR00_evid00068,80731.16981132075
xa.s12.00.mhz.1970-12-31HR00_evid00021,56690.8679245283
xa.s12.00.mhz.1970-09-26HR00_evid00013,72042.71698113208
xa.s12.00.mhz.1974-01-10HR00_evid00136,84310.7924528302
xa.s12.00.mhz.1973-07-29HR00_evid00121,84849.96226415095
xa.s12.00.mhz.1970-06-15HR00_evid00008,68531.32075471699
xa.s12.00.mhz.1971-05-23HR00_evid00034,80485.7358490566
xa.s12.00.mhz.1973-08-21HR00_evid00127,44446.03773584906
xa.s12.00.mhz.1973-07-28HR00_evid00120,2996.0754716981132
xa.s12.00.mhz.1972-12-03HR00_evid00084,9742.641509433963
xa.s12.00.mhz.1973-06-18HR00_evid00109,6335.547169811321
xa.s12.00.mhz.1971-05-13HR00_evid00033,10962.716981132075
xa.s12.00.mhz.1971-09-25HR00_evid00042,32249.66037735849
xa.s12.00.mhz.1973-05-14HR00_evid00104,2595.9245283018868
xa.s12.00.mhz.1974-04-27HR00_evid00145,51564.981132075474
xa.s12.00.mhz.1972-03-12HR00_evid00052,64958.49056603773
xa.s12.00.mhz.1974-04-26HR00_evid00144,33672.0
xa.s12.00.mhz.1974-04-08HR00_evid00141,31249.20754716981
xa.s12.00.mhz.1974-02-12HR00_evid00138,81156.83018867925
xa.s12.00.mhz.1970-04-25HR00_evid00006,4691.773584905661
xa.s12.00.mhz.1970-10-24HR00_evid00014,41741.735849056604
xa.s12.00.mhz.1973-07-04HR00_evid00114,10152.754716981131
xa.s12.00.mhz.1974-02-07HR00_evid00137,23009.962264150945
xa.s12.00.mhz.1971-04-17HR00_evid00030,25210.716981132075
xa.s12.00.mhz.1972-06-16HR00_evid00060,58395.77358490566
xa.s12.00.mhz.1971-10-20HR00_evid00044,65363.47169811321
xa.s12.00.mhz.1974-07-17HR00_evid00153,43738.8679245283
xa.s12.00.mhz.1971-06-12HR00_evid00035,39162.71698113208
xa.s12.00.mhz.1971-01-28HR00_evid00023,54107.16981132075
xa.s12.00.mhz.1975-06-26HR00_evid00198,12413.584905660377
xa.s12.00.mhz.1970-12-11HR00_evid00017,26701.88679245283
xa.s12.00.mhz.1970-04-26HR00_evid00007,52425.056603773584
xa.s12.00.mhz.1970-12-27HR00_evid00019,74144.90566037736
xa.s12.00.mhz.1974-10-14HR00_evid00156,63932.83018867925
xa.s12.00.mhz.1974-04-19HR00_evid00142,66760.0
xa.s12.00.mhz.1971-11-14HR00_evid00046,15720.301886792453
xa.s12.00.mhz.1973-06-05HR00_evid00108,39798.339622641506
xa.s12.00.mhz.1972-05-11HR00_evid00055,48935.24528301887
xa.s12.00.mhz.1972-12-02HR00_evid00083,28910.943396226416
xa.s12.00.mhz.1973-06-05HR00_evid00107,39798.339622641506
xa.s12.00.mhz.1972-07-28HR00_evid00070,8293.88679245283
xa.s12.00.mhz.1973-07-03HR00_evid00113,65827.16981132075
xa.s12.00.mhz.1974-07-06HR00_evid00151,10754.566037735849
xa.s12.00.mhz.1973-07-20HR00_evid00117,68539.92452830188
xa.s12.00.mhz.1971-02-09HR00_evid00026,13607.094339622641
xa.s12.00.mhz.1971-10-18HR00_evid00043,12155.77358490566
xa.s12.00.mhz.1972-01-04HR00_evid00049,23900.528301886792
xa.s12.00.mhz.1975-04-12HR00_evid00191,65120.6037735849
xa.s12.00.mhz.1974-07-11HR00_evid00152,3251.169811320755
xa.s12.00.mhz.1970-07-20HR00_evid00010,18266.867924528302
xa.s12.00.mhz.1971-05-12HR00_evid00031,35246.49056603773
xa.s12.00.mhz.1970-11-12HR00_evid00015,46507.018867924526
xa.s12.00.mhz.1971-04-13HR02_evid00029,36690.71698113208
